player,forehand_winner_per,backhand_winner_per,forehand_unforced_error_per,backhand_unforced_error_per,net_per,net_point_direct_win_per,net_point_winning_per,net_point_error_per,passing_per,winner_per,err_per,pts_won_Ite_3_shots_per,shots_in_pts_won_per,shots_in_pts_lost_per,shots_in_won_vs_lost_ratio,inside_in_per,inside_out_per,Counter Puncher,Attacking Baseliner,All-Court Player,Solid Baseliner
Matthias Bachinger,6.5,2.13,7.74,7.32,21.46,45.0,12.09,42.86,0.0,30.635,32.745,38.64,36.98,63.02,0.59,0.31,11.26,0.0003422289577531713,99.84902893388458,0.00048771307772053034,0.15014112407986677
Mauricio Echazu,6.96,3.48,22.61,11.3,6.96,100.0,4.35,37.5,0.0,26.67,37.39,28.92,32.84,67.16,0.49,0.46,14.16,99.99999781203609,2.185818034937837e-06,2.145910127797875e-09,5.238250686481318e-16
Maximilian Marterer,8.57,0.68,11.25,9.87,7.68,55.0,5.09,40.95,4.17,29.96,33.0,27.96,43.43,56.57,0.77,2.97,6.66,0.008395738404612536,99.9915595393985,4.34994194754683e-05,1.2227775846203455e-06
Maximo Gonzalez,8.41,6.54,2.8,10.28,9.35,66.67,5.61,50.0,11.11,26.56,28.04,24.43,61.34,38.66,1.59,1.49,10.4,7.946966884620197e-10,93.29146739661982,6.708531740678475,8.619069465035629e-07
Michael Berrer,6.9,4.2,6.42,5.99,14.65,57.58,8.95,40.92,14.49,33.31999999999999,27.602,32.7,46.17,53.83,0.95,0.48,8.31,3.9160607509077955e-06,99.9975906454183,0.0003986894273148834,0.002006749093714781
Michael Chang,8.05,4.87,6.41,6.86,13.97,46.78,8.82,49.2,11.76,33.241578947368424,27.065263157894744,37.71,49.45,50.55,1.0,2.02,7.55,2.2277131669198977e-06,99.9788472575023,0.020937899678911655,0.00021261510554008496
Michael Mmoh,3.55,1.96,8.05,7.57,7.72,84.85,4.27,52.13,7.21,17.189999999999998,29.85333333333333,36.35,44.97,55.03,0.88,1.53,10.84,5.0310315896729725e-05,99.08512105875369,0.9148280619747312,5.689556397963096e-07
Michael Stich,6.21,7.54,3.97,7.25,40.1,29.21,26.3,25.16,8.02,38.20272727272727,29.53909090909091,40.7,50.07,49.93,1.05,0.36,9.05,2.0303814472033865e-10,0.0012483990058455483,7.927417464096383e-10,99.99875159999837
Mikael Pernfors,9.36,6.02,7.54,6.25,15.15,59.54,10.7,34.48,16.36,36.995000000000005,28.435,33.68,52.83,47.17,1.16,1.88,14.29,9.688298454235494e-05,99.99861817918084,0.0002705089326107599,0.0010144289020001364
Mikael Ymer,6.23,7.56,5.86,6.12,7.4,69.44,4.97,36.25,8.62,27.32,23.025,30.13,57.68,42.32,1.6,0.0,5.51,0.00021499681791597262,99.35431563285141,0.6454677577161905,1.612614358080029e-06
Mikhail Kukushkin,6.04,2.7,10.13,7.39,6.64,57.62,4.02,43.1,8.95,24.0,34.08875,34.69,49.3,50.7,1.04,0.72,15.08,0.0021796477213708353,99.9845321195608,0.013288135927055363,9.679071820503939e-08
Mikhail Youzhny,6.96,4.06,6.52,11.98,11.24,49.81,8.54,46.7,9.67,27.825714285714287,35.40714285714286,32.06,49.48,50.52,1.15,0.54,8.83,5.351419035316953e-07,99.7945983048877,0.20539576289373024,5.397076756152802e-06
Milos Raonic,9.67,3.16,9.79,6.74,19.96,50.52,13.39,42.21,8.23,41.43634146341464,34.86731707317074,43.99,48.74,51.26,1.0,3.42,19.28,0.00036022066516367204,99.9899118689849,0.0005336901503625736,0.009194220199597633
Miomir Kecmanovic,7.24,2.88,4.32,4.42,8.95,69.73,6.55,42.0,14.14,24.43,26.232,40.33,50.09,49.91,1.02,1.63,8.99,7.102248250844051e-08,99.999750888519,0.0002331192696354466,1.5921188930970846e-05
Mirza Basic,6.75,2.84,6.81,7.19,11.53,62.08,7.57,41.94,14.6,26.75,32.14,34.32,52.46,47.54,1.11,1.13,10.07,4.4612527007550857e-07,99.99945738692898,0.0005097324541915903,3.243449146560449e-05
Mischa Zverev,7.55,3.68,5.83,8.47,37.58,23.14,22.66,48.62,8.28,30.47833333333333,33.251666666666665,40.38,42.38,57.62,0.81,0.1,6.99,2.205074340375672e-09,0.034632874260057435,1.3734463868844988e-07,99.96536698619025
Mitchell Krueger,1.01,1.01,17.17,3.03,12.12,16.67,6.06,66.67,0.0,5.56,32.32,33.82,30.37,69.63,0.44,12.15,25.23,99.99977930854963,0.00021497659670254783,5.714850505561414e-06,3.4852427339677754e-12
Nick Kyrgios,6.38,3.69,7.5,7.06,8.56,51.03,5.44,46.38,12.31,37.63137931034482,32.13413793103448,44.91,47.15,52.85,0.95,1.48,10.33,5.723488224741888e-07,99.96797211947099,0.03202680624172998,5.019384605623494e-07
